Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Myrtaceae ,Myrtaceae ,Myrtus,myrtle,w,alien,alien,1 alien when cultivated,3,0,3
Najadaceae,,Najas,waternymph,h,native,native,4 natives aquatic,0,0,0
Berberidaceae,,Nandina,nandina,w,alien,alien,1 alien,0,0,0
Malvaceae ,Malvaceae ,Napaea,glademallow,h,native,native,1 native,1,0,1
Liliaceae,Amaryllidaceae,Narcissus,narcissus,h,alien,alien,7 aliens perhaps more if cultivated,1,0,1
Poaceae,Gramineae,Nardus,matgrass,h,alien,alien,1 alien,1,0,1
Poaceae,,Nassella,needlegrass,h,native,native,1 native,0,0,0
Brassicaceae,Brassicaceae,Nasturtium,watercress,h,alien,alien,3 aliens,1,1,0
Polemoniaceae,,Navarretia,pincushionplant,h,native,native,3 natives,0,0,0
Nelumbonaceae,Nelumbonaceae,Nelumbo,lotus,h,native,both,"1 native, 1 alien",5,0,5
Hydrophyllaceae ,Hydrophyllaceae ,Nemophila,baby blue eyes,w,native,native,"1 native (DE,MD&south)",1,0,1
Brassicaceae,,Neobeckia,lakecress,h,native,native,1 native aquatic,0,0,0
Brassicaceae,,Neotorularia,,h,native,native,1 native,0,0,0
Lamiaceae,Labiatae,Nepeta,catnip,h,alien,alien,3 aliens,2,0,2
Brassicaceae,,Neslia,neslia,h,alien,alien,1 alien,0,0,0
Santalaceae,,Nestronia,nestronia,w,native,native,1 native,0,0,0
Solanaceae ,Solanaceae ,Nicandra,apple of Peru,h,alien,alien,1 alien,5,0,5
Solanaceae ,Solanaceae ,Nicotiana,tobacco,h,alien,alien,"3 aliens, others if cultivated",60,4,56
Ranunculaceae,,Nigella,nigella,h,alien,alien,1 alien,0,0,0
Asteraceae,,Nipponanthemum,nippon daisy,h,alien,alien,1 alien,0,0,0
Boraginaceae,,Nonea,monkswort,h,alien,alien,3 aliens,0,0,0
Asteraceae,,Nothocalais,prairie-dandelion,h,native,native,1 native,0,0,0
Liliaceae,,Nothoscordum,False garlic,h,native,native,1 native,0,0,0
Nymphaeceae,Nymphaeceae,Nuphar,pond lily,h,native,native,1 native,3,0,3
Scrophulariaceae,Scrophulariaceae,Nuttallanthus,toadflax,h,native,native,2 natives,2,0,2
Nymphaeceae,Nymphaeceae,Nymphaea,waterlily,h,native,native,"1 native, others cultivated",4,0,4
Menyanthaceae,Menyanthaceae,Nymphoides,floatingheart,h,native,both,"2 natives, 1 alien",1,0,1
Cornaceae,Cornaceae,Nyssa,"blackgum, sourgum, tupelo",w,native,native,3 natives (2 of are VA&south),26,1,25
Gentianaceae,,Obolaria,obolaria,h,native,native,1 native,0,0,0
Lamiaceae,Lamiaceae,Ocimum,basil,h,alien,alien,1 alien perhaps others if cultivated,0,0,0
Asteraceae,,Oclemena,aster,h,native,native,3 natives,0,0,0
Scrophulariaceae,,Odontites,odontites,h,alien,alien,1 alien,0,0,0
Apiaceae,,Oenanthe,waterdropwort,h,alien,alien,1 alien aquaitc,0,0,0
Onagraceae,Onagraceae,Oenothera,evening primrose [aka:Calylophus],h,native,both,"18 natives, 1 alien",17,1,16
Rubiaceae,,Oldenlandia,oldenlandia,h,native,native,2 natives,0,0,0
Asteraceae,Compositae ,Oligoneuron,goldenrod,h,native,native,4 natives,3,0,3
Asteraceae,,Omalotheca,arctic cudweed,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Onobrychis,sainfoin,h,alien,alien,1 alien perhaps others if cultivated,1,0,1
Dryopteridaceae,Woodsiaceae,Onoclea,sensitive fern,h,native,native,2 natives,3,0,3
Fabaceae,Fabaceae,Ononis,restharrow,h,alien,alien,"1 alien in NY, others if cultivated",2,0,2
Asteraceae,,Onopordum,cottonthistle,h,alien,alien,1 alien,0,0,0
Boraginaceae,Boraginaceae,Onosmodium,"marbleseed, wild Job's tears",h,native,native,1 native,4,0,4
Ophioglossaceae,,Ophioglossum,adderstongue,h,native,native,4 natives,0,0,0
Poaceae,Gramineae,Oplismenus,"woodsgrass, basketgrass",h,native,native,1 native,1,0,1
Cactaceae,Cactaceae,Opuntia,"pricklypear, devil's-tongue, cactus apple",h,native,both,"2 natives,  Perhaps aliens if cultivated",5,0,5
Fabaceae,Leguminosae(P),Orbexilum,"leather-root, snakeroot, french grass",h,native,native,2 natives,2,0,2
Lamiaceae,,Origanum,origanum,h,alien,alien,2 aliens,0,0,0
Liliaceae,,Ornithogalum,star of Bethlehem,h,alien,alien,3 aliens,0,0,0
Fabaceae,,Ornithopus,bird's-foot,h,alien,alien,1 alien,0,0,0
Orobanchaceae,,Orobanche,broomrape,h,alien,alien,1 alien,0,0,0
Araceae,,Orontium,goldenclub,h,native,native,1 native,0,0,0
Pyrolaceae,,Orthilia,orthilia,h,native,native,1 native,0,0,0
Scrophulariaceae,Scrophulariaceae,Orthocarpus,owl's clover,h,native,native,1 native,1,0,1
Poaceae,Gramineae,Oryza,rice,h,alien,alien,1 alien (VA&south) perhaps others if cultivated,11,1,10
Poaceae,,Oryzopsis,ricegrass,h,native,native,1 native,0,0,0
Oleaceae,,Osmanthus,devilwood,w,native,native,1 native,1,0,1
Apiaceae,Umbelliferae ,Osmorhiza,sweetroot,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",2,0,2
Osmundaceae,Osmundaceae,Osmunda,"cinnamon fern, royal fern, interupted fern",h,native,native,4 natives,6,0,6
Betulaceae,Corylaceae,Ostrya,"tupelo, ironwood",w,native,native,1 native,94,3,91
Oxalidaceae,Oxalidaceae,Oxalis,woodsorrel,h,native,both,"5 natives, 1 alien. others cultivated",3,0,3
Ericaceae ,Ericaceae ,Oxydendrum,sourwood,w,native,native,1 native,14,0,14
Apiaceae,Umbelliferae ,Oxypolis,cowbane,h,native,native,2 natives,2,0,2
Buxaceae,,Pachysandra,Allegheny spurge,h,native,native,1 native,0,0,0
Paeoniaceae,Paconiaceae,Paeonia,peony,h,alien,alien,2 aliens perhaps more if cultivated (natives out west),4,1,3
Araliaceae,,Panax,ginseng,h,native,native,2 natives,0,0,0
Poaceae,Gramineae,Panicum,"bulb panic grass, guineagrass, maidencane, winged panicgrass, panicgrass, torpedograss",h,native,both,"11 natives, 2 aliens, others cultivated",25,1,24
Papaveraceae,Papaveraceae,Papaver,poppy,h,alien,alien,6 aliens perhaps others if cultivated (natives out west),2,0,2
Poaceae,,Pappophorum,pappusgrass,h,native,native,2 natives,0,0,0
Poaceae,,Parapholis,curved sicklegrass,h,alien,alien,1 alien,0,0,0
Urticaceae,Urticaceae,Parietaria,pellitory,h,native,both,"1 native, 1 alien",2,0,2
Saxifragaceae,,Parnassia,grass of Parnassus,h,native,native,3 natives,0,0,0
Caryophyllaceae,,Paronychia,nailwort,h,native,native,6 natives,0,0,0
Asteraceae,Compositae ,Parthenium,"feverfew, quinine",h,native,both,"1 native, 1 alien",16,1,15
Vitaceae,Vitaceae,Parthenocissus,"virginia creeper, woodbine",w,native,both,"2 natives, 1 alien",32,0,32
Poaceae,,Pascopyrum,wheatgrass,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Paspalum,"paspalum, dallisgrass, vaseygrass, crowngrass",h,native,both,"11 natives, 2 aliens perhaps others if cultivated",10,0,10
Passifloraceae ,Passifloraceae ,Passiflora,"passionflower, passion-vine",h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",5,0,5
Apiaceae,Umbelliferae ,Pastinaca,wild parsnip,h,alien,alien,1 alien,7,1,6
Scrophulariaceae,Scrophulariaceae,Paulownia,"princesstree, paulownia",w,alien,alien,1 alien,2,0,2
Celestraceae,,Paxistima,paxistima,h,native,native,1 native,0,0,0
Scrophulariaceae,Scrophulariaceae,Pedicularis,lousewort,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",3,0,3
Fabaceae,Leguminosae(P),Pediomelum,"breadroot, buckroot",h,native,native,2 natives,1,0,1
Pteridaceae,,Pellaea,cliffbrake,h,native,native,2 natives,0,0,0
Araceae,,Peltandra,arrow arum,h,native,native,2 natives,0,0,0
Poaceae,Gramineae,Pennisetum,"elephantgrass, fountaingrass",h,alien,alien,3 aliens perhaps more if cultivated,3,0,3
Scrophulariaceae,Scrophulariaceae,Penstemon,"beardtongue, penstemon",h,native,native unless cultivated,8 natives perhaps aliens if cultivated,8,0,8
Crassulaceae ,,Penthorum,penthorum,h,native,native,1 native,0,0,0
Lamiaceae,,Perilla,perilla,h,alien,alien,1 alien,0,0,0
Asclepiadaceae,,Periploca,periploca,h,alien,alien,1 alien,0,0,0
Lauraceae,Lauraceae,Persea,"avacado, bay, redbay, swamp bay",w,native,native,"1 native (MD&south), aliens further south",18,2,16
Asteraceae,,Petasites,butterbur,h,native,native,1 native,0,0,0
Caryophyllaceae,,Petrorhagia,childing pink,h,alien,alien,2 aliens,0,0,0
Apiaceae,Umbelliferae ,Petroselinum,parsley,h,alien,alien,1 alien,4,0,4
Solanaceae ,Solanaceae ,Petunia,pentunia,h,alien,alien,3 aliens,3,0,3
Apiaceae,,Peucedanum,hogfennel,h,alien,alien,1 alien,0,0,0
Hydrophyllaceae ,Hydrophyllaceae ,Phacelia,phacelia,h,native,native,5 natives,3,0,3
Poaceae,Gramineae,Phalaris,canary grass,h,native,both,"2 natives, 4 aliens",4,0,4
Poaceae,Gramineae,Phanopyrum,Savannah panicum,h,native,native,1 native (VA&south),1,0,1
Fabaceae,Leguminosae(P),Phaseolus,beans,h,native,both,"1 native, 2 aliens",66,7,59
Thelypteridaceae,,Phegopteris,beechfern,h,native,native,2 natives,0,0,0
Rutaceae ,,Phellodendron,corktree,w,alien,alien,3 aliens,0,0,0
Portulacaceae ,,Phemeranthus,fameflower,h,native,native,2 natives,0,0,0
Hydrangaeceae,Hydrangaeceae,Philadelphus,mock orange,w,alien,alien,"3 natives (to west), 1 alien perhaps others if cultivated",4,0,4
Poaceae,Gramineae,Phleum,timothy,h,alien,alien,4 aliens perhaps others if cultivated,28,2,26
Lamiaceae,,Phlomis,Jeruselum sage,h,alien,alien,1 alien,0,0,0
Polemoniaceae,Polemoniaceae,Phlox,phlox,h,native,both,"13 natives, perhaps 1 alien if cultivated",8,0,8
Arecaceae,Palmae,Phoenix,date palm,w,alien,alien,2 aliens (MD&VA) (no natives in USA),2,2,0
Viscaceae,Viscaceae,Phoradendron,mistletoe,w,native,native,1 native,4,0,4
Rosaceae ,Rosaceae ,Photinia,"black chokeberry, photinia",w,native,both,"3 natives, 1 alien perhaps other if cultivated",29,3,26
Poaceae,Gramineae,Phragmites,common reed,h,alien,alien,PLANTS lists as a native,4,2,2
Verbenaceae,,Phryma,phryma,h,native,native,1 native,0,0,0
Verbenaceae,Verbenaceae,Phyla,turkey tangle fogfruit,h,native,native,2 natives,4,0,4
Euphorbiaceae ,Euphorbiaceae ,Phyllanthus,leafflower,h,native,both,"1 native, 1 alien",1,0,1
Poaceae,Gramineae,Phyllostachys,golden bamboo,w,alien,alien,2 aliens perhaps others if cultivated,1,0,1
Solanaceae ,Solanaceae ,Physalis,groundcherry,h,native,both,"9 natives, 2 aliens",9,1,8
Rosaceae ,Rosaceae ,Physocarpus,ninebark,w,native,both,"1 native, 1 alien, perhaps 1 other)if cultivated",41,1,40
Lamiaceae,Labiatae,Physostegia,"obiedent plant, false dragonhead",h,native,native,2 natives,1,0,1
Phytolaccaceae,Phytolaccaceae,Phytolacca,pokeweed,h,native,both,"1 native, 1 alien perhap another if cultivated",7,0,7
Pinaceae,Pinaceae,Picea,spruce,w,native,both,"4 natives, 1 alien perhaps others if cultivated",150,4,146
Asteraceae,,Picris,oxtongue,h,native,native,1 native,0,0,0
Ericaceae,Ericaceae,Pieris,fetterbush,w,native,both,"1 native (MD&south), 1 alien, ",2,0,2
Urticaceae,Urticaceae,Pilea,clear weed,h,native,native,2 natives,1,0,1
Apiaceae,Umbelliferae ,Pimpinella,burnet saxifrage,h,alien,alien,2 aliens,2,1,1
Araceae,,Pinellia,pinellia,h,alien,alien,1 alien,0,0,0
Lentibulariaceae,,Pinguicula,butterwort,h,native,native,1 native,0,0,0
Pinaceae,Pinaceae,Pinus,pine,w,native,both,"10 natives, 3 aliens perhaps others if cultivated",201,10,191
Piperaceae,Piperaceae,Piper,pepper,h,alien,alien,aliens can be cultivated in our area,1,0,1
Poaceae,,Piptatherum,ricegrass,h,native,native,3 natives,0,0,0
Poaceae,,Piptochaetium,speargrass,h,native,native,1 native,0,0,0
Araceae,,Pistia,pistia,h,native,native,1 native aquatic,0,0,0
Fabaceae,Leguminosae(P),Pisum,pea(garden),h,alien,alien,2 aliens perhaps others if cultivated,38,5,33
Asteraceae,Compositae ,Pityopsis,silkgrass,h,native,native,3 natives,3,0,3
Boraginaceae,,Plagiobothrys,popcornflower,h,native,native,1 native,0,0,0
Plantaginaceae ,Plantaginaceae ,Plantago,plantain,h,native,both,"12 natives, 4 aliens",66,3,63
Orchidaceae ,Orchidaceae ,Platanthera,fringed orchid,h,native,native,25 natives,1,0,1
Platanaceae,Platanaceae,Platanus,sycamore,w,native,both,"2 natives, 1 alien (in zones 7to9)",45,3,42
Campanulaceae,,Platycodon,platycodon,h,alien,alien,1 alien,0,0,0
Polypodiaceae,,Pleopeltis,resurrection fern,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Pluchea,"camphorweed, sweetscent",h,native,native unless cultivated,"3 native, perhaps 1 alien if cultivated",4,0,4
Poaceae,Gramineae,Poa,blue grass,h,native,both,"13 natives, 4 aliens, others cultivated",42,1,41
Berberidaceae,Berberidaceae,Podophyllum,mayapple,h,native,native unless cultivated,"1 native, perhaps 1 alien if cultivated",4,0,4
Orchidaceae,,Pogonia,snakemouth orchid,h,native,native,1 native,0,0,0
Capparaceae,,Polanisia,clammyweed,h,native,native,1 native,0,0,0
Polemoniaceae,Polemoniaceae,Polemonium,"Jacob's-ladder, Greek valerian",h,native,both,"2 natives, 1 alien",1,0,1
Caryophyllaceae,,Polycarpon,manyseed,h,alien,alien,1 alien,0,0,0
Chenopodiaceae,,Polycnemum,polycnemum,h,alien,alien,1 alien,0,0,0
Polygalaceae,,Polygala,milkwort,h,native,native,14 natives,0,0,0
Liliaceae,Convallariaceae ,Polygonatum,Solomon's seal,h,native,both,"2 natives, 1 alien",1,0,1
Polygonaceae ,Polygonaceae ,Polygonella,tall jointweed,h,native,native,2 natives,1,0,1
Polygonaceae ,Polygonaceae ,Polygonum,"knotweed, smartweed",h,native,both,"23 natives, 15 aliens",58,2,56
Asteraceae,Compositae ,Polymnia,"leafcup, yacon",h,native,native unless cultivated,"1 native, 1 alien as annual",1,0,1
Polygonaceae ,Polygonaceae ,Polypodium,polypody,h,native,native,2 natives,1,0,1
Poaceae,,Polypogon,rabbitsfoot,h,alien,alien,"1 native, 2 aliens",0,0,0
Poaceae,Poaceae,Polypogon,rabbitfoot grass,h,native,native,2 aliens,0,0,0
Buddlejaceae,,Polypremum,polypremum,h,native,native,1 native,0,0,0
Dryopteridaceae,Dryopteridaceae,Polystichum,"christmas fern, hollyfern",h,native,native unless cultivated,"6 natives, perhaps aliens if cultivated",3,0,3
Rutaceae ,Rutaceae ,Poncirus,hardy orange,w,alien,alien,1 alien,1,0,1
Pontederiaceae,Pontederiaceae,Pontederia,pickerelweed,h,native,both,"1 native, perhaps 1 alien if cultivated",4,0,4
Orchidaceae,,Ponthieva,shadowwitch,h,native,native,1 native,0,0,0
Salicaceae,Salicaceae,Populus,"aspen, cottonwood, poplar",w,native,both,"8 natives, 3 aliens perhaps other if cultivated",367,9,358
Portulacaceae ,Portulacaceae ,Portulaca,"purslane, hogweed, chickenweed",h,native,both,"1 native, 2 aliens perhaps another if culivated",17,2,15
Potamogatonaceae,,Potamogeton,pondweed,h (aquatic),native,both,"19 natives, 1 alien (noxious), others cultivated",4,0,4
Rosaceae ,Rosaceae ,Potentilla,cinquefoil,h,native,both,"6 natives, 6 aliens",15,1,14
Asteraceae,Compositae ,Prenanthes,"rattlesnakeroot, gall of the earth",h,native,native,11 natives,3,0,3
Primulaceae,Primulaceae,Primula,primrose,h,alien,alien,"3 aliens perhaps more if cultivated, natives more westerly",3,0,3
Pedaliaceae,Pedaliaceae,Proboscidea,ram's horn,h,native,native,1 native,2,0,2
Liliaceae,Convallariaceae ,Prosartes,"fairy bells, mandarin",h,native,native,1 native,0,0,0
Haloragaceae,,Proserpinaca,mermaidweed,h,native,native,3 natives,0,0,0
Lamiaceae,,Prunella,selfheal,h,native,native,1 native,0,0,0
Rosaceae ,Rosaceae ,Prunus,"beach plum, cherry, chokecherry, peach, plum, sweet cherry, wild plum, almond",w,native,both,"13 natives, 12 aliens perhaps others if cultivated",456,27,429
Fumariaceae,,Pseudofumaria,pseudofumaria,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Pseudognaphalium,"rabbit-tobacco, sweeteverlasting, cudweed",h,native,both,"4 natives, 1 alien",4,0,4
Scrophulariaceae,,Pseudolysimachion,longleaf speedwell,h,alien,alien,1 alien,0,0,0
Poaceae,,Pseudosasa,arrow bamboo,w,alien,alien,1 alien,0,0,0
Pinaceae,Pinaceae,Pseudotsuga,douglas fir,w,alien,alien,1 native in the west (Alien in our area),76,2,74
Rutaceae ,Rutaceae ,Ptelea,hoptree,w,native,native,1 native,6,1,5
Dennstaedtiaceae,Dennstaedtiaceae,Pteridium,"brackenfern, bracken",h,native,native,1 native,15,2,13
Pteridaceae,Pteridaceae,Pteris,brake fern,h,alien,alien,"1 alien, perhaps another if cultivated",4,0,4
Monotropaceae ,,Pterospora,pinedrops,h,native,native,1 native,0,0,0
Styracaceae,Styracaceae,Pterostyrax,fragrant epaulettetree. little epaulettetree,w,alien,alien,2 aliens (at least),1,0,1
Apiaceae,Umbelliferae ,Ptilimnium,"herbwilliam, mock bishopweed",h,native,native,2 natives,1,0,1
Poaceae,Gramineae,Puccinellia,alkaligrass,h,native,both,"5 natives, 1 alien",1,0,1
Fabaceae,Leguminosae(P),Pueraria,kudzo,w,alien,alien,1 alien,4,0,4
Asteraceae,,Pulicaria,false fleabane,h,alien,alien,1 alien,0,0,0
Boraginaceae,,Pulmonaria,lungwort,h,alien,alien,1 alien,0,0,0
Ranunculaceae,Ranunculaceae,Pulsatilla,pasqueflower,h,alien,alien,"1 alien (when cultivated), natives in west",1,0,1
Lamiaceae,Labiatae,Pycnanthemum,mountainmint,h,native,native,12 natives,3,0,3
Rosaceae ,Rosaceae ,Pyracantha,firethorn,w,alien,alien,1 alien,9,2,7
Pyrolaceae,Ericaceae ,Pyrola,wintergreen,h,native,native,5 natives,2,0,2
Asteraceae,,Pyrrhopappus,desert-chicory,h,native,native,1 native,0,0,0
Santalaceae,,Pyrularia,pyrularia,h,native,native,1 native,0,0,0
Rosaceae ,Rosaceae ,Pyrus,pear,w,alien,alien,"4 aliens, (one of in zone 3 if cultivated)",138,19,119
,Diapensiaceae,Pyxidanthera,pixiemoss,h,native,native,1 native,1,0,1
Fagaceae,Fagaceae,Quercus,oak,w,native,both,"60 natives, 2 aliens perhaps others if cultivated",532,14,518
Ranunculaceae,Ranunculaceae,Ranunculus,buttercup,h,native,both,"19 natives, 6 aliens perhaps another if cultivated",8,1,7
Brassicaceae,Cruciferae ,Raphanus,radish,h,alien,alien,2 aliens,17,3,14
Brassicaceae,,Rapistrum,bastardcabbage,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Ratibida,prairie coneflower,h,native,native,2 natives,1,0,1
Asteraceae,,Reichardia,brighteyes,h,alien,alien,1 alien,0,0,0
Resedaceae,Resedaceae,Reseda,mignonette,h,alien,alien,5 aliens perhaps another if cultivated,3,0,3
Rhamnaceae,Rhamnaceae,Rhamnus,"buckthorn, redberry",w,native,both,"2 natives, 2 aliens perhaps others if cultivated",10,1,9
Polygonaceae ,Polygonaceae ,Rheum,rhubarb,h,alien,alien,1 alien perhaps others if cultivated,13,4,9
Melastomataceae,Melastomataceae,Rhexia,meadowbeauty,h,native,native,6 natives,3,0,3
Scrophulariaceae,,Rhinanthus,yellowrattle,h,native,native,1 native,0,0,0
Crassulaceae ,,Rhodiola,stonecrop,h,native,native,2 natives,0,0,0
Ericaceae ,Ericaceae ,Rhododendron,"rhododendron, azalea",w,native,native unless cultivated,"13 natives, perhaps aliens if cultivated",51,1,50
Rosaceae ,,Rhodotypos,jetbead,w,alien,alien,1 alien,0,0,0
Anacardiaceae ,Anacardiaceae ,Rhus,sumac,w,native,native unless cultivated,"6 natives, perhaps aliens if cultivated",58,4,54
Fabaceae,Leguminosae(P),Rhynchosia,snoutbean,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",4,0,4
Cyperaceae,Cyperaceae,Rhynchospora,beaksedge,h,native,native unless cultivated,"31 natives, perhaps aliens if cultivated",2,0,2
Grossulariaceae ,Grossulariaceae ,Ribes,"currant, gooseberry",w,native,both,"9 natives, 3 aliens, perhaps others if cultivated",99,7,92
Rubiaceae,,Richardia,Mexican clover,h,native,native,2 natives,0,0,0
Euphorbiaceae ,Euphorbiaceae ,Ricinus,castorbean,w,alien,alien,1 alien,16,1,15
Fabaceae,Leguminosae(P),Robinia,"locust, black locust, rose acacia",w,native,native,3 natives,72,5,67
Brassicaceae,Cruciferae ,Rorippa,yellowcress,h,native,both,"2 natives, 5 aliens",5,2,3
Rosaceae ,Rosaceae ,Rosa,"rose, sweetbriar",w,native,both,"9 natives, 20 aliens perhaps others if cultivated",135,13,122
Poaceae,,Rostraria,hairgrass,h,alien,alien,1 alien,0,0,0
Lythraceae,,Rotala,rotala,h,native,native,1 native,0,0,0
Rubiaceae,,Rubia,madder,h,alien,alien,1 alien,0,0,0
Rosaceae ,Rosaceae ,Rubus,"blackberry, dewberry, Himalayan berry, raspberry, thimbleberry, loganberry",w,native,both,"111 natives (some are very local), 8 aliens perhaps other if cultivated",163,12,151
Asteraceae,Compositae ,Rudbeckia,"browneyed susan, blackeyed susan, coneflower",h,native,native,5 natives,16,0,16
Acanthaceae,Acanthaceae,Ruellia,wild petunia,h,native,both,"5 natives, perhaps 1 alien if cultivated",2,0,2
Polygonaceae ,Polygonaceae ,Rumex,"dock, sheep sorrel, curly dock",h,native,both,"8 natives, 10 aliens perhaps others if cultivate",54,7,47
Ruppiaceae,,Ruppia,widgeonweed,h,native,native,1 native,0,0,0
Rutaceae ,Rutaceae ,Ruta,rue,h,alien,alien,1 alien,2,0,2
Gentianaceae,Gentianaceae,Sabatia,"rose gentian, rosepink, Texas star",h,native,native,10 natives,1,0,1
Poaceae,Gramineae,Saccharum,"sugarcane plumegrass, sugarcane, silver plumegrass",h,native,native unless cultivated,"5 natives, perhaps aliens if cultivated",22,1,21
Poaceae,Gramineae,Sacciolepis,cupscale,h,native,native unless cultivated,"1 native, perhaps aliens if cultivated",1,0,1
Caryophyllaceae,,Sagina,pearlwort,h,native,native,1 native,0,0,0
Alismataceae,Alismataceae,Sagittaria,arrowhead,h,native,both,"13 natives, 1 alien perhaps others if cultivated",5,0,5
Chenopodiaceae,,Salicornia,pickleweed,h,native,native,2 natives,0,0,0
Salicaceae,Salicaceae,Salix,willow,w,native,both,"22 natives, 13 aliens, perhaps others if cultivated",455,15,440
Solanaceae ,,Salpichroa,salpichroa,h,alien,alien,1 alien,0,0,0
Solanaceae ,,Salpiglossis,salpiglossis,h,alien,alien,1 alien,0,0,0
Chenopodiaceae ,Chenopodiaceae ,Salsola,Russian thistle,h,alien,alien,"2 aliens, perhaps another if cultivated (all invasive)",11,2,9
Lamiaceae,Labiatae,Salvia,sage,h,native,both,"4 natives, 7 aliens, others cultivated",6,1,5
Salviniaceae,,Salvinia,watermoss,h,alien,alien,2 alien aquatic,0,0,0
Caprifoliaceae ,Caprifoliaceae ,Sambucus,elderberry,w,native,both,"2 natives, 2 aliens perhaps 2 more if cultivated)",42,2,40
Primulaceae,,Samolus,brookweed,h,alien,alien,1 alien aquatic,0,0,0
Papaveraceae,Papaveraceae,Sanguinaria,bloodroot,h,native,native,1 native,2,0,2
Rosaceae ,Rosaceae ,Sanguisorba,burnet,h,native,both,"3 natives, 1 alien, others cultivated",2,2,0
Apiaceae,Umbelliferae ,Sanicula,"sanicle, blacksnakeroot",h,native,native,5 natives,1,0,1
Asteraceae,,Sanvitalia,creeping zinnia,h,alien,alien,1 alien,0,0,0
Euphorbiaceae ,Euphorbiaceae ,Sapium,Tallow Tree,w,alien,alien,"1 alien, natives tropical or southern",1,0,1
Caryophyllaceae ,Caryophyllaceae ,Saponaria,soapwort,h,alien,alien,2 aliens perhaps another if cultivated,1,0,1
Chenopodiaceae,,Sarcocornia,swampfire,h,native,native,1 native,0,0,0
Sarraceniaceae,Sarraceniaceae,Sarracenia,"pitcher plant, yellow-trumpet",h,native,native unless cultivated,"2 natives, perhaps some aliens if cultivated",6,0,6
Lauraceae,Lauraceae,Sassafras,sassafras,w,native,native,1 native,38,2,36
Lamiaceae,,Satureja,savory,h,alien,alien,2 aliens,0,0,0
Saururaceae,Saururaceae,Saururus,lizard's tail,h,native,native,1 native,1,0,1
Saxifragaceaea,Saxifragaceaea,Saxifraga,saxifrage,h,native,native unless cultivated,"9 natives, perhaps aliens if cultivated",1,0,1
Dipsacaceae,Dipsacaceae,Scabiosa,pincushions,h,alien,alien,1 alien perhaps mpre if cultivated,3,0,3
Apiaceae,,Scandix,shepherd's needle,h,alien,alien,1 alien,0,0,0
Poaceae,,Schedonorus,fescue,h,alien,alien,3 aliens,0,0,0
Scheuchzeriaceae,,Scheuchzeria,rannoch-rush,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Schizachne,"false melic grass, purple oat grass",h,native,native,1 native,1,0,1
Poaceae,Gramineae,Schizachyrium,little bluestem,h,native,native unless cultivated,"2 native, perhaps aliens if cultivated",6,0,6
Schizaeaceae,,Schizaea,curlygrass,h,native,native,1 native,0,0,0
Solanaceae ,Solanaceae ,Schizanthus,poorman's orchid,h,alien,alien,1 alien,1,0,1
Cyperaceae,Cyperaceae,Schoenoplectus,bulrush,h,native,both,"16 natives, 2 aliens",2,0,2
Scrophulariaceae,,Schwalbea,schwalbea,h,native,native,1 native,0,0,0
Liliaceae,,Scilla,Siberian squill,h,alien,alien,1 alien,0,0,0
Cyperaceae,,Scirpoides,bulrush,h,alien,alien,1 alien,0,0,0
Cyperaceae,Cyperaceae,Scirpus,"woolgrass, bulrush",h,native,native unless cultivated,"15 natives, perhaps aliens if cultivated",11,0,11
Caryophyllaceae,,Scleranthus,knotgrass,h,alien,alien,1 alien,0,0,0
Cyperaceae,Cyperaceae,Scleria,nutrush,h,native,native unless cultivated,"8 natives, perhaps aliens if cultivated",1,0,1
Poaceae,,Sclerochloa,hardgrass,h,alien,alien,1 alien,0,0,0
Asteraceae,,Sclerolepis,bogbutton,h,native,native,1 nativce aquatic,0,0,0
Asteraceae,,Scolymus,goldenthistle,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,,Scoparia,broomwort,h,alien,alien,1 alien,0,0,0
Fabaceae,,Scorpiurus,scorpion's-tail,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,Scrophulariaceae,Scrophularia,"figwort, carpenter's square",h,native,both,"3 natives, 2 aliens",6,1,5
Lamiaceae,Labiatae,Scutellaria,skullcap,h,native,both,11 native (1 alien in NC),2,0,2
Poaceae,Gramineae,Secale,"rye, cereal rye",h,alien,alien,1 alien,14,1,13
Fabaceae,Leguminosae(P),Securigera,crownvetch,h,alien,alien,1 alien,4,1,3
Crassulaceae ,Crassulaceae ,Sedum,"orpine, stonecrop, green cockscomb",h,native,both,"2 natives, 7 aliens in our area",5,1,4
Selaginellaceae,,Selaginella,spikemoss,h,native,native,3 natives,0,0,0
