,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
309,Cyrilla racemiflora,Cyrilla racemiflora,23449,species,,,
310,Leucothoe axillaris,Leucothoe axillaris,23550,species,,,
311,Northern white-cedar,NA,NA,species,Thuja occidentalis,505490,misspelling no hyphon needed
312,Spruce pine,NA,NA,species,Pinus glabra,183342,multiple species names given | but Pinus clausa said by USDA says sand pine
313,Prairie crab apple,Malus ioensis,25259,species,,,
314,Blue spruce,Picea pungens,183307,species,,,
315,Oregon crab apple,Malus fusca,25258,species,,,
316,Wafer ash,NA,NA,species,Ptelea trifoliata,28992,"Name not found but USDA and NCSU refer to wafer-ash, etc."
317,Shumard oak,NA,NA,species,Quercus shumardii,19417,Two species name given also sometimes referred to as Shumard's Oak | Q. texana seems to refer more to Texas red oak and Nutall's oak
318,Silky dogwood,Cornus amomum,27799,species,,,
319,Silver maple,Acer saccharinum,28757,species,,,
320,Roughleaf dogwood,Cornus drummondii,27807,species,,,
321,Rose,NA,NA,species,Rosa,24807,given NA for common names and no just plain rose
322,Buxus,Buxus,28022,species,Buxus,28022,Found Buxus but no options given
323,Oakleaf hydrangea,Hydrangea quercifolia,24200,species,,,
324,Shellbark hickory,NA,NA,species,Carya laciniosa,19235,Two species recommended |USDA and NCSU recommends Caray laciniosa
325,Gray birch,Betula populifolia,19497,species,,,
326,Itea virginica,Itea virginica,24202,species,,,
327,Yaupon,Ilex vomitoria,27986,species,,,
328,Shingle oak,Quercus imbricaria,19359,species,,,
329,Littleleaf linden,Tilia cordata,505507,species,,,
330,Rhus copallinum,Rhus copallinum,504754,species,,,
331,Southern bayberry,Morella caroliniensis,507898,species,,,
332,Ficus,NA,NA,species,Ficus,19081,multiple options given some with NA
333,Carpinus,Carpinus,19503,species,,,
334,Feijoa sellowiana,NA,NA,species,Feijoa sellowiana,506165,not an accepted scientific name
335,Olea,NA,NA,species,Olea,32989,a genus?
336,Osmanthus fragrans,Osmanthus fragrans,505977,species,,,
337,Illicium,Illicium,18082,species,,,
338,Magnolia figo,NA,NA,species,Liriodendron chinense,895289,Not found but NSCU does recognize it | some websites suggest Chinese tulip tree as another common name so this scientific name
339,Tungoil tree,Vernicia fordii,505662,species,,,
340,Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,,,
341,Asimina,Asimina,18108,species,,,
342,Sugarberry,NA,NA,species,Celtis laevigata,19042,Given two names C. laevigata and E. anacua | NCSU gives another option and USDA gives one nomral option
343,Sweet cherry,Prunus avium,24770,species,,,
344,Shagbark hickory,Carya ovata,19242,species,,,
345,Southern crabapple,Malus angustifolia,25255,species,,,
346,Eastern sweetshrub,Calycanthus floridus,18142,species,,,
347,American plum,Prunus americana,24763,species,,,
348,Peach,Prunus persica,24765,species,,,
349,Euonymus alatus,Euonymus alatus,27946,species,,,
350,Red elderberry,Sambucus racemosa,35326,species,,,
351,Water tupelo,Nyssa aquatica,27824,species,,,
352,Pecan,Carya illinoinensis,19234,species,,,
353,Gardenia,Gardenia,35159,species,,,
354,Nandina domestica,Nandina domestica,18848,species,,,
355,Ailanthus,Ailanthus,28826,species,,,
356,Bigtooth aspen,Populus grandidentata,22463,species,,,
